,missions_been_on,failed_missions_been_on,missions_voted_up1,missions_voted_up2,missions_voted_up3,missions_voted_up4,missions_voted_up5,missions_voted_up6,missions_voted_down1,missions_voted_down2,missions_voted_down3,missions_voted_down4,missions_voted_down5,missions_voted_down6,Spy
293,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1
294,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
295,2,2,2,1,0,1,1,0,0,0,0,0,0,0,1
296,2,2,1,1,0,1,0,0,1,0,0,0,0,0,1
297,2,2,1,0,1,0,0,0,4,3,1,1,1,0,1
298,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1
299,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
300,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1
301,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0
302,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
303,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
304,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1
305,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1
306,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
307,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
308,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
309,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
310,1,1,0,1,1,1,0,0,3,0,0,0,0,0,0
311,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1
312,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
313,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1
315,1,1,3,0,1,0,0,2,0,0,0,0,0,0,1
316,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1
317,1,1,0,1,0,0,0,0,3,0,1,1,0,0,0
318,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1
319,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
320,3,2,1,3,0,1,0,0,0,0,0,0,0,0,0
321,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
322,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
323,1,1,1,0,0,0,0,0,4,2,2,0,0,0,1
324,3,1,0,1,0,0,0,0,3,1,0,1,0,0,0
325,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1
