,accelerometer_X,accelerometer_Y,accelerometer_Z,BVP,EDA,heart_rate,IBI_0,IBI_1,temp,Subject,Label
135,-11.0,8.0,57.0,98.11,0.183219,65.82,170.140625,0.921875,28.47,S01,0
136,-14.0,9.0,59.0,91.23,0.181938,65.8,171.015625,0.875,28.47,S01,0
137,-12.0,9.0,59.0,84.63,0.181938,65.78,171.890625,0.875,28.47,S01,0
138,-7.0,3.0,63.0,78.34,0.181938,65.8,172.734375,0.84375,28.47,S01,0
139,-6.0,2.0,64.0,72.37,0.181938,65.82,173.625,0.890625,28.47,S01,0
140,-9.0,1.0,67.0,66.72,0.183219,65.87,174.578125,0.953125,28.47,S01,0
141,-8.0,-2.0,71.0,61.42,0.181938,65.93,175.703125,1.125,28.47,S01,0
142,-5.0,-3.0,71.0,56.46,0.184501,66.02,176.59375,0.890625,28.47,S01,0
143,-6.0,-3.0,67.0,51.86,0.183219,66.1,177.5625,0.96875,28.47,S01,0
144,-6.0,0.0,67.0,47.62,0.183219,66.2,178.515625,0.953125,28.47,S01,0
145,-8.0,1.0,65.0,43.74,0.184501,66.28,179.453125,0.9375,28.47,S01,0
146,-10.0,1.0,64.0,40.22,0.183219,66.35,180.3125,0.859375,28.47,S01,0
147,-10.0,1.0,63.0,37.04,0.183219,66.42,181.171875,0.859375,28.47,S01,0
148,-11.0,0.0,60.0,34.21,0.181938,66.42,182.078125,0.90625,28.47,S01,0
149,-13.0,0.0,59.0,31.71,0.181938,66.42,183.0,0.921875,28.47,S01,0
150,-13.0,0.0,61.0,29.54,0.184501,66.4,183.96875,0.96875,28.47,S01,0
151,-11.0,1.0,63.0,27.71,0.183219,66.38,184.890625,0.921875,28.47,S01,0
152,-9.0,1.0,63.0,26.19,0.183219,66.38,185.796875,0.90625,28.47,S01,0
153,-10.0,0.0,62.0,25.0,0.184501,66.38,186.640625,0.84375,28.49,S01,0
154,-12.0,0.0,60.0,24.11,0.183219,66.4,187.578125,0.9375,28.49,S01,0
155,-12.0,0.0,61.0,23.52,0.181938,66.4,188.484375,0.90625,28.49,S01,0
156,-8.0,1.0,63.0,23.21,0.183219,66.4,189.390625,0.90625,28.49,S01,0
157,-9.0,0.0,62.0,23.16,0.184501,66.42,190.28125,0.890625,28.49,S01,0
158,-11.0,0.0,61.0,23.37,0.183219,66.43,191.171875,0.890625,28.49,S01,0
159,-11.0,0.0,61.0,23.82,0.183219,66.43,192.078125,0.90625,28.49,S01,0
160,-10.0,1.0,61.0,24.51,0.181938,66.43,193.0,0.921875,28.49,S01,0
161,-9.0,1.0,62.0,25.42,0.183219,66.43,193.875,0.875,28.47,S01,0
162,-10.0,0.0,63.0,26.51,0.184501,66.43,194.734375,0.859375,28.47,S01,0
163,-8.0,-1.0,63.0,27.75,0.185782,66.45,195.609375,0.875,28.47,S01,0
164,-9.0,0.0,63.0,29.08,0.184501,66.47,196.484375,0.875,28.47,S01,0
165,-10.0,0.0,63.0,30.4,0.183219,66.48,197.34375,0.859375,28.47,S01,0
166,-11.0,0.0,62.0,31.61,0.183219,66.48,198.171875,0.828125,28.47,S01,0
167,-10.0,1.0,62.0,32.55,0.185782,66.47,199.03125,0.859375,28.47,S01,0
168,-8.0,1.0,63.0,33.08,0.185782,66.45,199.90625,0.875,28.47,S01,0
169,-11.0,0.0,62.0,33.03,0.184501,66.42,200.765625,0.859375,28.45,S01,0
170,-10.0,0.0,62.0,32.25,0.184501,66.38,201.625,0.859375,28.45,S01,0
171,-9.0,0.0,63.0,30.65,0.184501,66.38,202.5,0.875,28.45,S01,0
172,-9.0,0.0,62.0,28.14,0.184501,66.35,203.390625,0.890625,28.45,S01,0
173,-10.0,0.0,61.0,24.73,0.185782,66.33,204.234375,0.84375,28.49,S01,0
174,-11.0,-1.0,61.0,20.51,0.184501,66.33,205.078125,0.84375,28.49,S01,0
175,-8.0,-2.0,61.0,15.57,0.185782,66.33,205.953125,0.875,28.49,S01,0
176,-5.0,-2.0,59.0,10.1,0.184501,66.32,206.8125,0.859375,28.49,S01,0
177,0.0,-1.0,51.0,4.36,0.185782,66.3,207.640625,0.828125,28.51,S01,0
178,-1.0,-5.0,46.0,-1.39,0.184501,66.27,208.53125,0.890625,28.51,S01,0
179,-14.0,-5.0,55.0,-6.89,0.185782,66.23,209.4375,0.90625,28.51,S01,0
180,-23.0,-9.0,66.0,-11.89,0.185782,66.2,210.359375,0.921875,28.51,S01,0
181,-26.0,-11.0,70.0,-16.18,0.185782,66.17,211.28125,0.921875,28.49,S01,0
182,-12.0,-10.0,70.0,-19.62,0.184501,66.13,212.1875,0.90625,28.49,S01,0
183,-9.0,-13.0,67.0,-22.12,0.181938,66.12,213.125,0.9375,28.49,S01,0
184,-13.0,-13.0,67.0,-23.69,0.185782,66.1,214.046875,0.921875,28.49,S01,0
185,-14.0,-10.0,65.0,-24.35,0.184501,66.08,214.984375,0.9375,28.49,S01,0
186,-13.0,-11.0,63.0,-24.22,0.184501,66.07,215.90625,0.921875,28.49,S01,0
187,-12.0,-11.0,65.0,-23.42,0.185782,66.05,216.828125,0.921875,28.49,S01,0
188,-10.0,-10.0,62.0,-22.1,0.185782,66.05,217.75,0.921875,28.49,S01,0
189,-12.0,-10.0,62.0,-20.41,0.184501,66.05,218.640625,0.890625,28.49,S01,0
190,-10.0,-11.0,63.0,-18.46,0.185782,66.07,219.53125,0.890625,28.49,S01,0
191,-12.0,-12.0,64.0,-16.38,0.185782,66.08,220.453125,0.921875,28.49,S01,0
192,-13.0,-12.0,63.0,-14.22,0.184501,66.1,221.375,0.921875,28.49,S01,0
193,-16.0,-11.0,63.0,-12.02,0.184501,66.13,222.28125,0.90625,28.49,S01,0
194,-15.0,-11.0,63.0,-9.78,0.183219,66.17,223.21875,0.9375,28.49,S01,0
195,-13.0,-11.0,59.0,-7.54,0.187063,66.2,224.140625,0.921875,28.49,S01,0
196,-17.0,-11.0,60.0,-5.3,0.184501,66.25,225.0625,0.921875,28.49,S01,0
197,-17.0,-11.0,61.0,-3.04,0.184501,66.3,225.9375,0.875,28.51,S01,0
198,-14.0,-9.0,59.0,-0.76,0.184501,66.33,226.828125,0.890625,28.51,S01,0
199,-12.0,-12.0,58.0,1.56,0.184501,66.37,227.734375,0.90625,28.51,S01,0
200,-11.0,-12.0,62.0,3.93,0.187063,66.38,228.65625,0.921875,28.51,S01,0
201,-13.0,-11.0,62.0,6.36,0.187063,66.38,229.5,0.84375,28.53,S01,0
202,-14.0,-10.0,60.0,8.87,0.187063,66.37,230.375,0.875,28.53,S01,0
203,-12.0,-11.0,60.0,11.51,0.185782,66.35,231.265625,0.890625,28.53,S01,0
204,-11.0,-11.0,62.0,14.22,0.185782,66.33,232.140625,0.875,28.53,S01,0
205,-10.0,-11.0,62.0,16.98,0.184501,66.3,232.984375,0.84375,28.51,S01,0
206,-11.0,-9.0,60.0,19.77,0.185782,66.25,233.875,0.890625,28.51,S01,0
207,-10.0,-9.0,58.0,22.63,0.185782,66.18,234.796875,0.921875,28.51,S01,0
208,-11.0,-10.0,57.0,25.56,0.184501,66.15,235.703125,0.90625,28.51,S01,0
209,-9.0,-11.0,60.0,28.6,0.185782,66.12,236.578125,0.875,28.51,S01,0
210,-11.0,-12.0,59.0,31.81,0.188344,66.08,237.453125,0.875,28.51,S01,0
211,-12.0,-12.0,58.0,35.24,0.187063,66.05,238.328125,0.875,28.51,S01,0
212,-10.0,-13.0,60.0,38.98,0.187063,66.03,239.21875,0.890625,28.51,S01,0
213,-6.0,-13.0,62.0,42.93,0.187063,66.02,240.078125,0.859375,28.49,S01,0
214,-9.0,-14.0,62.0,47.06,0.185782,66.0,240.9375,0.859375,28.49,S01,0
215,-11.0,-13.0,59.0,51.34,0.184501,65.98,241.84375,0.90625,28.49,S01,0
216,-10.0,-13.0,58.0,55.75,0.185782,65.97,242.71875,0.875,28.49,S01,0
217,-8.0,-14.0,61.0,60.3,0.187063,65.95,243.59375,0.875,28.51,S01,0
218,-7.0,-16.0,64.0,64.99,0.185782,65.93,244.453125,0.859375,28.51,S01,0
219,-7.0,-16.0,64.0,69.87,0.185782,65.95,245.3125,0.859375,28.51,S01,0
220,-10.0,-16.0,64.0,75.0,0.185782,65.97,246.1875,0.875,28.51,S01,0
221,-8.0,-16.0,63.0,80.48,0.185782,65.98,247.015625,0.828125,28.51,S01,0
222,-7.0,-15.0,62.0,86.14,0.187063,66.02,247.84375,0.828125,28.51,S01,0
223,-7.0,-16.0,62.0,91.89,0.185782,66.03,248.65625,0.8125,28.51,S01,0
224,-8.0,-16.0,64.0,97.7,0.187063,66.05,249.46875,0.8125,28.51,S01,0
225,-8.0,-16.0,63.0,103.55,0.185782,66.08,250.296875,0.828125,28.51,S01,0
226,-7.0,-17.0,65.0,109.45,0.185782,66.12,251.171875,0.875,28.51,S01,0
227,-8.0,-17.0,65.0,115.4,0.183219,66.17,252.046875,0.875,28.51,S01,0
228,-18.0,-16.0,59.0,121.41,0.185782,66.22,252.921875,0.875,28.51,S01,0
229,-23.0,-16.0,56.0,127.54,0.187063,66.28,253.8125,0.890625,28.53,S01,0
230,-11.0,-17.0,60.0,133.86,0.187063,66.37,254.6875,0.875,28.53,S01,0
231,-12.0,-18.0,59.0,140.04,0.185782,66.42,255.546875,0.859375,28.53,S01,0
232,-17.0,-16.0,55.0,145.82,0.185782,66.5,256.40625,0.859375,28.53,S01,0
233,-17.0,-15.0,54.0,150.97,0.185782,66.57,257.28125,0.875,28.51,S01,0
234,-16.0,-16.0,56.0,155.23,0.187063,66.63,258.15625,0.875,28.51,S01,0
235,-16.0,-14.0,57.0,158.26,0.188344,66.7,259.0,0.84375,28.51,S01,0
